movie_id,title,release_date,description,score,thumbnail,parsed_date,release_year,release_month,release_day
11416,CyberWorld,"October 6, 2000","Phig (Elfman) gives us a tour of CyberWorld, a museum of 3-D exhibits including segments from ""Antz,"" ""The Simpsons"" and several shorts.",55,https://static.metacritic.com/images/products/movies/2/aeae0f1d9b266ac26cba5decd51638e2-98.jpg,2000-10-06,2000,10,6
11420,Bamboozled,"October 6, 2000","An Ivy-League educated writer (Damon Wayans) joins a comedy show at a major network.  The show includes an all black cast,  but is written by mostly white people.  One of his first ideas is to have a skit where the cast wears ""black face,"" and the show becomes an instant smash.",54,https://static.metacritic.com/images/products/movies/5/8ad351aa6342feaf55ceec294383473a-98.jpg,2000-10-06,2000,10,6
11421,Return to Me,"April 7, 2000",A young man (Duchovny) falls in love with a woman (Driver) and later learns she is the one who received his former wife's heart. He must decide which woman it is who holds his heart.,54,https://static.metacritic.com/images/products/movies/8/865cddab1692cc1efe5528d3829d8136-98.jpg,2000-04-07,2000,4,7
11426,The Big Tease,"January 28, 2000","Scottish hairdresser Crawford Mackenzie (Ferguson), Glasgow's finest, has come to compete in The World Freestyle Hairdressing Championship, where fashion is queen and the perfect ""do"" will make you king.  (Warner Brothers)",53,https://static.metacritic.com/images/products/movies/4/95f9aca7b5c4dd7441dfb951085a3520-98.jpg,2000-01-28,2000,1,28
11427,Bounce,"November 17, 2000","A romantic drama about two strangers, a hot shot urban ad exec (Affleck) and a struggling single mom (Paltrow), who fall in love -- only one of them knows it wasn't by chance.  (Miramax Films)",52,https://static.metacritic.com/images/products/movies/8/542367a3d452b1c74142a4be8fbbea78-98.jpg,2000-11-17,2000,11,17
11428,Charlie's Angels,"November 3, 2000","A trio of elite private investigators (Diaz, Barrymore, Liu) armed with the latest in high-tech tools track down a kidnapped computer ace and keep his top-secret voice-identification software out of lethal hands.  [Columbia Pictures]",52,https://static.metacritic.com/images/products/movies/1/194212913a2a40cc006cba2211a571c6-98.jpg,2000-11-03,2000,11,3
11430,Orfeu,"August 25, 2000",The re-telling of the Greek mythical love affair between Orfeu and Eurídice transplanted to modern-day Brazil.  (New Yorker Films),52,https://static.metacritic.com/images/products/movies/4/a8af66df9769843933c0cafffaacb2c4-98.jpg,2000-08-25,2000,8,25
11433,Center Stage,"May 12, 2000",A drama that follows the hopes and dreams of a tight-knit group of young dance students as they try to make a name for themselves and become stars in the fiercely competitive world of professional dance.,52,https://static.metacritic.com/images/products/movies/8/5909eba33f7b110adbe94746de6cb820-98.jpg,2000-05-12,2000,5,12
11441,Shaft,"June 16, 2000",A murderer tries to kill the only witness to his last crime.  Shaft (Jackson) and his sidekick (Williams) are trying to catch the murderer.,50,https://static.metacritic.com/images/products/movies/4/24ce648137c634d386d2e493bef7cfcf-98.jpg,2000-06-16,2000,6,16
11452,Vertical Limit,"December 8, 2000","Tale of young climber Peter Garrett (O'Donnell), who must launch a treacherous and extraordinary rescue effort up K2, the world's second highest peak. Confronting both his own limitations and the awesome power of nature' uncontrollable elements, Peter risks his life to save his sister, Annie (Tunney), and her summit team (Paxton and Lea) in a race against time.  (Columbia Pictures)",48,https://static.metacritic.com/images/products/movies/4/ce1b02bd7e83630850eef4da7cad8ae4-98.jpg,2000-12-08,2000,12,8
11457,Lies,"November 17, 2000","In South Korea, an affair begin between two individuals who meet through a personal ads.  J (Lee) is 38-year-old married man and Y (Kim) is a young girl of 18 who wants to lose her virginity.  As things progress, the two find themselves in the realms of obssession and sadomasochism.",47,https://static.metacritic.com/images/products/movies/0/5b01f9f07f2f0f548ad0414d61989c4f-98.jpg,2000-11-17,2000,11,17
11465,The Woman Chaser,"June 16, 2000","Richard (Warburton) is a gifted used car salesman and women-chaser.  One day he completes a cherished project, but forces beyond his control destroy it.  A monstrous revenge is exacted on all who have crossed him.",46,https://static.metacritic.com/images/products/movies/3/7562077c393c117c5323a1e5ff7ff8a7-98.jpg,2000-06-16,2000,6,16
11467,Catfish in Black Bean Sauce,"July 28, 2000","An African American couple (Winfield and Alice) adopt two orphans from a Vietnamese refugee camp.  After twenty-two years, the children are reunited with their birth mother, bringing deeply submerged resentments and misconceptions to the surface and forcing the characters to reexamine their identity and relationships in both comical and poignant situations.  (Iron Hill Pictures)",46,https://static.metacritic.com/images/products/movies/5/7fdde3bf926fa31a5c6c8417b586d523-98.jpg,2000-07-28,2000,7,28
11473,Bootmen,"October 6, 2000","The story of two brothers in Newcastle, Australia.  One (Garcia) wants to pursue a career as a tap dancer, and the other (Worthington) wants to start his own business.",45,https://static.metacritic.com/images/products/movies/7/4d9fd4e571039c4a27c1c833013b81d9-98.jpg,2000-10-06,2000,10,6
11476,Coming Soon,"May 12, 2000","When it becomes clear that one of three female college friends has never had an orgasm, they set out on sexual adventures (notice the punny title, a la ""Porky's"") to remedy the situation.",44,https://static.metacritic.com/images/products/movies/0/10776a3abd03f8f2edbf4bf16b267769-98.jpg,2000-05-12,2000,5,12
11477,Love & Sex,"August 25, 2000",Follows the romantic misadventures of a woman and a man in search of their own version of happily-ever-after. (Lions Gate Films),44,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-08-25,2000,8,25
11485,A Piece of Eden,"September 15, 2000",A bittersweet comedy that follows three generations of the unlucky Tredici family from Corsica in the 1940's to an Indiana fruit farm in the present.  (FilmAcres),43,https://static.metacritic.com/images/products/movies/4/bacbb62b4bb217015f55141499165425-98.jpg,2000-09-15,2000,9,15
11490,The Family Man,"December 22, 2000","In this romantic comedy drama about life's possibilities, Jack Campbell (Cage) must choose between a his glamorous, fast-paced career or life as a suburban husband and father.  (Universal Pictures)",42,https://static.metacritic.com/images/products/movies/0/046d94bd6b7d073998d009945963b52a-98.jpg,2000-12-22,2000,12,22
11494,Godzilla 2000,"August 18, 2000","Godzilla faces a formidable new foe in Orga (a.k.a. Giant Alien Millennian), a gigantic and lethal creature which is slowly transmuted from a UFO believed to be dormant for 6,000 years.  [Columbia Tristar]",41,https://static.metacritic.com/images/products/movies/5/70a2a054958b20935b16a62620ae3f00-98.jpg,2000-08-18,2000,8,18
11495,Luminarias,"May 5, 2000","Four  women regularly get-together at an East Los Angeles restaurant called Luminarias to share information about their careers, love, family, and sex.",41,https://static.metacritic.com/images/products/movies/98w-movie.jpg,2000-05-05,2000,5,5
11501,Duets,"September 15, 2000",Karaoke enthusiasts travel across the country competing in singing contests leading to the national championship in Omaha.,40,https://static.metacritic.com/images/products/movies/9/7b9391cc42669888a917c9e1523fd5be-98.jpg,2000-09-15,2000,9,15
11514,Reindeer Games,"February 25, 2000",The film enters the colorful and conniving world of lowlife criminals scheming to turn a straightened ex-con (Affleck) crooked again.  (Dimension Films),37,https://static.metacritic.com/images/products/movies/9/520f871df3b365f2583cc0f22f880590-98.jpg,2000-02-25,2000,2,25
11479,The Ninth Gate,"March 10, 2000",A rare book dealer (Depp) seeking out the last two copies of a demon text discovers a strange demonic conspiracy.,44,https://static.metacritic.com/images/products/movies/1/48a0fd83aa6925300482d527b113b521-98.jpg,2000-03-10,2000,3,10
11480,The Closer You Get,"February 25, 2000","A group of bachelors in a shrinking village on Ireland's craggy Donegal coast scheme to entice American beauties to the village.  When their plan goes awry, the result is an unexpected round of romances with the least likely of women -- the one's who've been right in front of them all along.  (Fox Searchlight Pictures)",44,https://static.metacritic.com/images/products/movies/4/717b6b4cc4a600ed0d3bc465bc2cdc29-98.jpg,2000-02-25,2000,2,25
11496,Next Friday,"January 12, 2000","Takes up where ""Friday"" left off with the action switching from South Central L.A. to suburbia.  (New Line Home Video)",41,https://static.metacritic.com/images/products/movies/7/6b6e04d837faa5a7c03d5487009aa47d-98.jpg,2000-01-12,2000,1,12
11502,The Cell,"August 18, 2000",A child therapist enters the mind of a comatose serial killer in the hopes of saving his latest victim.,40,https://static.metacritic.com/images/products/movies/1/68d2a2344af8d5ae63a76be95095b836-98.jpg,2000-08-18,2000,8,18
11503,Bait,"September 15, 2000","Alvin Sanders (Foxx) is set up as bait by Treasury Agent Clenteen (Morse) to trap a dangerous criminal (Hutchison). The Feds think Alvin was given a secret code in jail that would lead to gold in the U.S. Treasury.  Alvin just wants to go straight, but ...",39,https://static.metacritic.com/images/products/movies/3/07421ea88d1c20003e5f6ea00522b135-98.jpg,2000-09-15,2000,9,15
11504,Restless,"November 10, 2000",A young American woman (Kellner) and her Chinese and American friends seek adventure and romance in China.,39,https://static.metacritic.com/images/products/movies/2/77189aa0cd93585c7b8c122a0d677f27-98.jpg,2000-11-10,2000,11,10
11505,All the Rage,"July 7, 2000",A holdup at gunpoint affects the lives of a cross section of people in a variety of ways in this dark comedy.,39,https://static.metacritic.com/images/products/movies/0/f33738460cf4c213b78f7bbe6ca449d2-98.jpg,2000-07-07,2000,7,7
11506,But I'm a Cheerleader,"July 7, 2000","Suspected of being a lesbian, an unsophisticated teenager is sent to rehab camp by her conventional parents and friends.",39,https://static.metacritic.com/images/products/movies/7/3ef963fd418ccc2006de87e267aa1867-98.jpg,2000-07-07,2000,7,7
11509,Double Parked,"September 22, 2000","A comedic drama about a feisty urban single mom, and her ailing adolescent son, struggling to survive while their lives are on a collision course with destiny.  (Fierce Films)",38,https://static.metacritic.com/images/products/movies/3/547374f408da9b5aac78608a69aea051-98.jpg,2000-09-22,2000,9,22
11510,God's Army,"August 25, 2000",A movie about the experiences of a group of Latter-Day Saints missionaries working in Los Angeles.,38,https://static.metacritic.com/images/products/movies/9/b6080d658f23c758dba872402dca11ca-98.jpg,2000-08-25,2000,8,25
