budget,cast,certification,company,director,genres,gross_sales,id,opening_weekend,producer,release_date,runtime,title,user_rating,votes,budget_usd,opening_weekend_usd,gross_sales_usd,runtime_numeric,user_rating_numeric,votes_numeric,mpaa_rating,release_year,release_month,release_day
,"Isabelle Huppert, Jacques Dutronc, Anna Mouglalis, Rodolphe Pauly, Brigitte Catillon, Michel Robin, Mathieu Simonet, Lydia Andrei, Véronique Alain, Isolde Barth",Not Rated,"MK2 Productions, CAB Productions, France 2 Cinéma, Télévision Suisse-Romande (TSR), YMC Productions",Claude Chabrol,"Crime, Drama, Mystery, Thriller",,232083,,"Yvon Crenn, Marin Karmitz, Jean-Louis Porchet, Gérard Ruey",2000-09-03,101,Nightcap,6.6,5577,,,,101,6.6,5577,,2000,9,3
"EUR4,000,000 (estimated)","Carmen Maura, Eduardo Antuña, María Asquerino, Jesús Bonilla, Marta Fernández Muro, Paca Gabaldón, Ane Gabarain, Sancho Gracia, Emilio Gutiérrez Caba, Kiti Mánver",R,"Antena 3 Televisión, Lolafilms, Vía Digital",Álex de la Iglesia,"Adventure, Comedy, Crime, Horror, Mystery, Thriller",,255067,,"Andrés Vicente Gómez, Marco Gómez",2000-09-21,110,Common Wealth,7.2,12179,,,,110,7.2,12179,R,2000,9,21
"$15,000,000 (estimated)","Kate Beckinsale, James Fox, Anjelica Huston, Nick Nolte, Jeremy Northam, Madeleine Potter, Uma Thurman, Nicholas Day, Peter Eyre, Nickolas Grace",R,"Merchant Ivory Productions, TF1 International, Miramax",James Ivory,"Drama, Romance",,200669,"$90,170, 29 Apr 2001","Paul Bradley, Richard Hawley, Ismail Merchant, Fabrizio Mosca",2000-05-14,130,The Golden Bowl,5.9,4488,15000000.0,90170.0,,130,5.9,4488,R,2000,5,14
,"Jonas Mekas, Jane Brakhage, Stan Brakhage, Robert Breer, Hollis Frampton, Allen Ginsberg, Ken Jacobs, Peter Kubelka, Adolfas Mekas, Oona Mekas",,", , , , ",Jonas Mekas,"Documentary, Biography",,262240,,Jonas Mekas,2000-11-04,288,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,8.2,1221,,,,288,8.2,1221,,2000,11,4
,"Anders W. Berthelsen, Anette Støvelbæk, Ann Eleonora Jørgensen, Peter Gantzler, Lars Kaalund, Sara Indrio Jensen, Karen-Lise Mynster, Rikke Wölck, Elsebeth Steentoft, Bent Mejding",R,"Danmarks Radio, Det Danske Filminstitut, Zentropa Entertainments",Lone Scherfig,"Comedy, Drama, Romance",,243862,,"Karen Bentzon, Gert Duve Skovlund, Peter Aalbæk Jensen, Marianne Moritzen, Ib Tardini",2000-12-08,112,Italian for Beginners,7.1,13443,,,,112,7.1,13443,R,2000,12,8
,"Simon Baker, Anna Friel, Nick Stahl, Rory Cochrane, Adam Goldberg, Tommy Flanagan, Darren E. Burrows, John Randolph, Stephanie Romanov, Jared Leto",R,"Fox 2000 Pictures, Art Linson Productions, Linson Films",Adam Collis,"Comedy, Drama",,178050,"$3,926, 13 Aug 2000","James Dodson, Art Linson, John Linson",2000-08-18,90,Sunset Strip,5.6,1709,,3926.0,,90,5.6,1709,R,2000,8,18
,"Lena Endre, Erland Josephson, Krister Henriksson, Thomas Hanzon, Michelle Gylemo, Juni Dahr, Philip Zandén, Thérèse Brunnander, Marie Richardson, Stina Ekblad",R,"Classic, Nordisk Film- & TV-Fond, Norsk Rikskringkasting, RAI Radiotelevisione Italiana, Rai Cinema",Liv Ullmann,"Drama, Romance",,157122,,"Mats Arehn, Maria Curman, Kaj Larsen, Johan Mardell, Hjalmar Palmgren",2000-05-13,154,Faithless,7.4,3562,,,,154,7.4,3562,R,2000,5,13
,"Jean La Planche, Bodan Litnanski, Agnès Varda, François Wertheimer",Not Rated,Ciné-tamaris,Agnès Varda,Documentary,,247380,,", , , , ",2000-05-08,82,The Gleaners & I,7.7,7537,,,,82,7.7,7537,,2000,5,8
,"Ralph Fiennes, Michael Bryant, Julie Christie, Rebecca Callard, James Frain, Richard E. Grant, Ian Holm, William Hurt, Anton Lesser, Daniel Massey",G,"British Broadcasting Corporation, British Screen Productions, Cartwn Cymru, Christmas Films, Icon Entertainment International","Derek W. Hayes, Stanislav Sokolov","Animation, Biography, Drama, History",,208298,,"Elizabeth Babakhina, John Geraint, Christopher Grace, Naomi Jones, Ralph Kamp",2000-03-31,90,The Miracle Maker,7.1,1614,,,,90,7.1,1614,G,2000,3,31
,"Sean Astin, Bruce Campbell, Stacy Keach, Suzanne Turner, John James, Mark 'Woody' Keppel, Paul Schnabel, Rick Kincaid, Rusty De Wees, Steve Mellor",PG-13,"Edgewood Studios, Two Left Shoes Films",David Giancola,"Action, Drama",,179861,,"Peter Beckwith, Karen Preus",2000-05-01,90,Icebreaker,3.5,1203,,,,90,3.5,1203,PG-13,2000,5,1
